1.500000000000000000e+00,2.500000000000000000e+00,3.000000000000000000e+00
1.884086308834289625e+00,-1.640658238174600214e+00,3.895708530862662222e+00
9.006907206964823942e+00,-8.049972544739394387e-01,1.101798600240041637e+01
9.590570329392363647e+00,7.221224484302370961e-01,1.153336256083050060e+01
9.265467283898310313e+00,7.684615857013100682e-01,1.108459589750173890e+01
9.286238319851795708e+00,1.063769671198462108e+00,1.106462634350331165e+01
9.287802190542320702e+00,1.121792417186332713e+00,1.103414218238900091e+01
9.286983093537898526e+00,1.132462395302126668e+00,1.102186860324247597e+01
9.286497054565732157e+00,1.134324693679362506e+00,1.101809599162353415e+01
9.286337856494222720e+00,1.134628098556117681e+00,1.101709190695854090e+01
9.286294501532054824e+00,1.134671726748818443e+00,1.101684564627360174e+01
9.286283718491684880e+00,1.134676452124935953e+00,1.101678850061991177e+01
9.286281189923453638e+00,1.134676501367829271e+00,1.101677580163390147e+01
9.286280623134187451e+00,1.134676318356046876e+00,1.101677308339566963e+01
9.286280500867139409e+00,1.134676241693241661e+00,1.101677252160273746e+01
9.286280475408016599e+00,1.134676218327798081e+00,1.101677240951719305e+01
9.286280470289190347e+00,1.134676212103376658e+00,1.101677238799055303e+01
9.286280469297615525e+00,1.134676210571605059e+00,1.101677238403618020e+01
9.286280469113572522e+00,1.134676210215023184e+00,1.101677238335000730e+01
9.286280469081194866e+00,1.134676210135569407e+00,1.101677238324034569e+01
9.286280469075910204e+00,1.134676210118520157e+00,1.101677238322514718e+01
